Topic,Category,Title,Url,Author,Date
Bất động sản,,"Trung Quốc bơm 162 tỷ USD, cấp tiền mua trái phiếu công ty địa ốc phát hành",https://vietnamnet.vn/trung-quoc-bom-162-ty-usd-cap-tien-mua-trai-phieu-cong-ty-dia-oc-phat-hanh-2084724.html,Hồng Khanh,"
                            26/11/2022   11:47 (GMT+07:00)
                        "
Thời sự,Chính trị,"Người dân sắp được chiêm ngưỡng vũ khí, khí tài tân tiến của 30 nước tại Hà Nội",https://vietnamnet.vn/nguoi-dan-sap-duoc-chiem-nguong-vu-khi-khi-tai-tan-tien-cua-30-nuoc-tai-ha-noi-2084254.html,Trần Thường,"
                            24/11/2022   17:31 (GMT+07:00)
                        "
,,"
                    Nuôi triệu con vật tí hon, khởi nghiệp 100.000 đồng, rủng rỉnh tiền cho con học quốc tế
                ",https://vietnamnet.vn/nuoi-trieu-con-vat-ti-hon-khoi-nghiep-100-000-dong-rung-rinh-tien-cho-con-hoc-quoc-te-2011228.html,,
Kinh Doanh,Doanh nhân,"5 nhân vật giàu có nhất lịch sử nhân loại, Elon Musk chưa sánh bằng",https://vietnamnet.vn/5-nhan-vat-giau-co-nhat-lich-su-nhan-loai-elon-musk-chua-sanh-bang-2079503.html,,"
                            11/11/2022   17:48 (GMT+07:00)
                        "
,,"
                    Loài rồng Nam Mỹ rực lửa: Người thường nhìn đáng sợ, dân chơi mê mẩn săn lùng
                ",https://vietnamnet.vn/loai-rong-nam-my-ruc-lua-nguoi-thuong-nhin-dang-so-dan-choi-me-man-san-lung-2011347.html,,
Ô tô - Xe máy,Xe mới ,Xuất hiện mẫu xe máy điện có chi phí sử dụng rẻ hơn VinFast Evo200,https://vietnamnet.vn/xuat-hien-mau-xe-may-dien-co-chi-phi-su-dung-re-hon-vinfast-evo200-2085452.html,Đình Quý,"
                            29/11/2022   08:00 (GMT+07:00)
                        "
,,"
                                Nguyễn Thị Kim Ngân
                            ",https://vietnamnet.vn/ho-so/nguyen-thi-kim-ngan-C000596.html,,
Sức khỏe,,Nhận biết chứng rối loạn bài tiết ở người cao tuổi,https://vietnamnet.vn/nhan-biet-chung-roi-loan-bai-tiet-o-nguoi-cao-tuoi-2085427.html,,"
                            29/11/2022   08:00 (GMT+07:00)
                        "
Thời sự,Quốc phòng,"Bộ Quốc phòng mở rộng bệnh viện dã chiến, chi viện thêm 100 y bác sĩ vào Nam",https://vietnamnet.vn/bo-quoc-phong-mo-rong-benh-vien-da-chien-chi-vien-them-100-y-bac-si-vao-nam-763458.html,,"
                            06/08/2021   14:55 (GMT+07:00)
                        "
Thời sự,Quốc phòng,Đội tuyển đua tăng Việt Nam sắp đấu trận đầu tại Army Games,https://vietnamnet.vn/doi-tuyen-dua-tang-viet-nam-sap-dau-tran-dau-tai-army-games-766524.html,,"
                            16/08/2021   20:33 (GMT+07:00)
                        "
Thời sự,Chính trị,Tướng Đỗ Quyết và Hoàng Văn Lương bị cách tất cả chức vụ trong Đảng,https://vietnamnet.vn/tuong-do-quyet-va-hoang-van-luong-bi-cach-tat-ca-chuc-vu-trong-dang-828063.html,,"
                            05/04/2022   14:49 (GMT+07:00)
                        "
Thời sự,Quốc phòng,Tư lệnh Bộ Tư lệnh TP.HCM Nguyễn Văn Nam được thăng quân hàm trung tướng,https://vietnamnet.vn/tu-lenh-bo-tu-lenh-tphcm-nguyen-van-nam-duoc-thang-quan-ham-trung-tuong-764009.html,,"
                            08/08/2021   15:56 (GMT+07:00)
                        "
Thời sự,Quốc phòng,"Bộ trưởng Quốc phòng: Toàn quân quyết liệt, ngăn chặn dịch Covid-19",https://vietnamnet.vn/bo-truong-quoc-phong-toan-quan-quyet-liet-ngan-chan-dich-covid-19-761833.html,,"
                            01/08/2021   21:53 (GMT+07:00)
                        "
Thời sự,Chính trị,"Cảnh cáo Trung tướng Nguyễn Quang Đạm, cách chức trong Đảng Phó Tư lệnh Cảnh sát biển",https://vietnamnet.vn/canh-cao-trung-tuong-nguyen-quang-dam-cach-chuc-trong-dang-pho-tu-lenh-canh-sat-bien-779295.html,,"
                            30/09/2021   18:02 (GMT+07:00)
                        "
Thời sự,Chống tham nhũng,Từ vụ kit test Việt Á cảnh báo 'virus tham nhũng' còn rất nhiều,https://vietnamnet.vn/tu-vu-kit-test-viet-a-canh-bao-virus-tham-nhung-con-rat-nhieu-808390.html,,"
                            12/01/2022   16:00 (GMT+07:00)
                        "
Thời sự,Chống tham nhũng,Khởi tố thêm nhiều bị can là cán bộ cấp cao trong năm 2021,https://vietnamnet.vn/khoi-to-them-nhieu-bi-can-la-can-bo-cap-cao-trong-nam-2021-810370.html,,"
                            20/01/2022   16:01 (GMT+07:00)
                        "
Thời sự,,Tân Thứ trưởng Bộ Công an Nguyễn Văn Long và dấu ấn phá các đại án tham nhũng,https://vietnamnet.vn/tan-thu-truong-bo-cong-an-nguyen-van-long-va-dau-an-pha-cac-dai-an-tham-nhung-809736.html,,"
                            18/01/2022   11:03 (GMT+07:00)
                        "
Thời sự,Chống tham nhũng,"Thường trực Ban Bí thư: Kỷ luật là những quyết định rất khó khăn, trăn trở",https://vietnamnet.vn/thuong-truc-ban-bi-thu-ky-luat-la-nhung-quyet-dinh-rat-kho-khan-tran-tro-808157.html,,"
                            11/01/2022   16:40 (GMT+07:00)
                        "
Thời sự,Chính trị,Cuộc trao đổi bất ngờ giữa Thủ tướng Phạm Minh Chính và Tổng thống Mỹ Joe Biden,https://vietnamnet.vn/cuoc-trao-doi-bat-ngo-giua-thu-tuong-pham-minh-chinh-va-tong-thong-my-joe-biden-2080004.html,Thu Hằng,"
                            12/11/2022   23:48 (GMT+07:00)
                        "
Thời sự,Chính trị,Anh hùng lực lượng vũ trang Kostas Sarantidis Nguyễn Văn Lập qua đời,https://vietnamnet.vn/anh-hung-luc-luong-vu-trang-kostas-sarantidis-nguyen-van-lap-qua-doi-749220.html,,"
                            26/06/2021   07:14 (GMT+07:00)
                        "
Thời sự,Chính trị,"Giám định, định giá tài sản không đúng có nguy cơ dẫn đến oan sai",https://vietnamnet.vn/giam-dinh-dinh-gia-tai-san-khong-dung-co-nguy-co-dan-den-oan-sai-809635.html,,"
                            18/01/2022   19:24 (GMT+07:00)
                        "
Thời sự,Chính trị,"Gặp Đại tướng Hun Manet, Thủ tướng phấn khởi về hiệu quả hợp tác quốc phòng",https://vietnamnet.vn/gap-dai-tuong-hun-manet-thu-tuong-phan-khoi-ve-hieu-qua-hop-tac-quoc-phong-2079990.html,Thu Hằng,"
                            12/11/2022   22:24 (GMT+07:00)
                        "
Thời sự,Chính trị,Phó Tư lệnh Quân khu 3 giữ chức Chánh Thanh tra Bộ Quốc phòng,https://vietnamnet.vn/pho-tu-lenh-quan-khu-3-giu-chuc-chanh-thanh-tra-bo-quoc-phong-751902.html,,"
                            01/07/2021   14:41 (GMT+07:00)
                        "
Thời sự,Chính trị,"Thủ tướng: Quân đội không lơ là, mất cảnh giác, chủ quan",https://vietnamnet.vn/thu-tuong-quan-doi-khong-lo-la-mat-canh-giac-chu-quan-751616.html,,"
                            30/06/2021   18:07 (GMT+07:00)
                        "
Thời sự,Chính trị,Bộ Quốc phòng đồng ý giao 24ha đất sân bay Khâm Đức cho Quảng Nam,https://vietnamnet.vn/bo-quoc-phong-dong-y-giao-24ha-dat-san-bay-kham-duc-cho-quang-nam-750750.html,,"
                            28/06/2021   09:34 (GMT+07:00)
                        "
Thời sự,Chính trị,Cách chức Phó Tư lệnh Quân khu 9 với Thiếu tướng Trần Văn Tài,https://vietnamnet.vn/cach-chuc-pho-tu-lenh-quan-khu-9-voi-thieu-tuong-tran-van-tai-751994.html,,"
                            01/07/2021   17:52 (GMT+07:00)
                        "
Thế giới,,Hình ảnh phơi bày sự tàn khốc của trận lở đất ở Italia,https://vietnamnet.vn/hinh-anh-phoi-bay-hau-qua-vu-lo-dat-tan-khoc-o-italia-2085298.html,Hoài Linh,"
                            28/11/2022   10:42 (GMT+07:00)
                        "
Thời sự,Chính trị,Thủ tướng: Tình hữu nghị hợp tác Việt Nam - Campuchia là vô giá,https://vietnamnet.vn/thu-tuong-tinh-huu-nghi-hop-tac-viet-nam-campuchia-la-vo-gia-2078734.html,Thu Hằng,"
                            09/11/2022   13:02 (GMT+07:00)
                        "
Thời sự,Chính trị,Chính phủ Australia tăng mức ODA cho Việt Nam,https://vietnamnet.vn/chinh-phu-australia-tang-muc-oda-cho-viet-nam-2078900.html,Trần Thường,"
                            09/11/2022   18:25 (GMT+07:00)
                        "
Thời sự,An toàn giao thông,Bộ trưởng Nguyễn Văn Thể thông tin về tiến độ 'siêu sân bay' Long Thành,https://vietnamnet.vn/bo-truong-nguyen-van-the-thong-tin-ve-tien-do-sieu-san-bay-long-thanh-2071016.html,Trần Thường,"
                            17/10/2022   21:05 (GMT+07:00)
                        "
